en,es,pos,description
about,"acerca de",adverb,"Preferimos «Acerca de» antes que «Sobre», pero dependerá del contexto. 
«Acerca del tema Baskerville»
«Sobre el autor»"
"above the fold","antes de desplazarse",expression,
account,cuenta,noun,
activate,activar,verb,
activated,activado,adjective,"«Una vez que haya sido activado»"
active,activo,adjective,"«Mostrar plugins activos»"
add,añadir,verb,"No traducir como «agregar», «agrega»"
add-on,extensión,noun,
addon,extensión,noun,
address,dirección,noun,
admin,"administrador / administración",noun,"«administrador» cuando se refiere al perfil dentro del sistema.
«administración» cuando se refiere al área de administración de WordPress.
"
"After the Deadline","After the Deadline",noun,"Nombre de un producto de software http://afterthedeadline.com"
AI,IA,abbreviation,
ajax,ajax,noun,"No se traduce"
"are you sure","¿Seguro que…?",expression,"Para hacer la pregunta sin género no usar «¿Estás seguro…?» o «¿Estás segura…?» sino «¿Seguro que…?» adaptable a ambos géneros "
array,array,noun,"No se traduce"
aside,minientrada,noun,
"aspect ratio","relación de aspecto",expression,
attachment,adjunto,noun,
attributes,atributos,noun,
authenticate,identificar,verb,"NO usar autenticar, autentificar ni cosas similares"
authentication,identificación,noun,"No usar autenticación, autentificación y similares"
author,autor,noun,
autosave,autoguardado,noun,
backend,"administración / escritorio",noun,
backlink,retroenlace,noun,
backorder,reserva,noun,
backup,"copia de seguridad",noun,
"bad words","palabras malsonantes",expression,"No usar «malas palabras»"
badge,"acreditación / insignia / distinción",noun,
banner,banner,noun,"No se traduce"
BCC,CCO,noun,"No dejar la abreviatura en inglés de Blind Carbon Copy, ponerla en español para Con Copia Oculta"
benefit,ventaja,noun,
bill,factura,noun,
billing,facturación,noun,
bitrate,bitrate,noun,"No se traduce"
blockquote,cita,noun,
blog,blog,noun,"(No se traduce)"
blueprint,modelo,noun,"Se refiere a modelos (como bocetos) de instalación, de WordPress, WooCommerce y otros, para reutilizar en otras instalaciones."
body,cuerpo,noun,"No se traduce si se refiere a la etiqueta <body>"
bookmarklet,marcador,noun,
branch,"rama / sucursal",noun,"Usar «rama» para las versiones mayores de WordPress.
Usar «sucursal» en relación a comercio electrónico."
branding,"imagen de marca / marca",noun,
breadcrumb,"migas de pan",noun,
"brick and mortar store","tienda física",expression,
BuddyPress,BuddyPress,noun,"No se traduce"
bug,fallo,noun,
builder,maquetador,noun,"Se puede usar «editor» cuando vaya unido a «arrastrar y soltar» p.ej. «drag and drop builder», en ese caso se puede traducir como «editor de arrastrar y soltar»"
bulk,"por lotes",noun,"Según el contexto podría ser «en lotes» o «en bloque». No usar «en masa» ni «masivamente»"
"bulk actions","acciones en lote",noun,
bundle,lote,noun,"No usar «agrupado» para no confundir con los productos por defecto de WooCommerce"
"by clicking","al hacer clic",expression,
canvas,lienzo,noun,
capability,capacidad,noun,
caption,leyenda,noun,"Es el texto conocido como pie de foto"
cart,carrito,noun,"No usar carro ni cesta"
"case sensitive","distingue entre mayúsculas y minúsculas",expression,
category,categoría,noun,
changelog,"registro de cambios",noun,
changeset,"grupo de cambios",noun,
"Cheatin’ uh?","Haciendo trampas, ¿eh?",expression,
check,"marcar / comprobar",verb,"Dependiendo del contexto. Por ejemplo: marcar una casilla / comprobar un ajuste"
check,cheque,noun,"En comercio, como medio de pago."
checkbox,"casilla de verificación",noun,
checkout,"finalizar compra / pago",noun,"Cuando se refiere a la página de pagos es «Finalizar compra», sino traducir como pago/s, por ejemplo «El cliente procede al pago»"
clear,vaciar,verb,
click,clic,noun,
click,"hacer clic",verb,"Se pone «clic» sin K (https://www.fundeu.es/consulta/hacer-clic-1753/)"
"clip art","imagen prediseñada",expression,
clip-art,"imagen prediseñada",noun,
clipart,"imagen prediseñada",noun,
