en,nl,pos,description
abilities,abilities,noun,"We vertalen dit niet als het betrekking heeft op de ""Ability API"""
ability,ability,noun,"We vertalen dit niet als het betrekking heeft op de ""Ability API"""
account,account,noun,"Dus geen rekening"
"action scheduler","action scheduler",noun,"Naam van een script, vertalen we niet. (zie: https://actionscheduler.org/)"
activate,activeer/activeren,noun,"Is normaal Nederlands woord voor het werkzaam maken
Als het gaat om een actie/knop - kiezen we voor Activeren"
activates,activeert,verb,
add,toevoegen,verb,
"add new",toevoegen,verb,"Het is gebruikelijk om 'add new [noun]' te vertalen naar 'Nieuwe [noun] toevoegen'."
"add to",toevoegen,verb,"In het Nederlands gebruiken we volledige werkwoordsvormen."
add-on,add-on,noun,"technische term wordt vaak gebruikt in naam van het project, dus niet vertalen"
add-ons,add-ons,noun,
Added,toegevoegd,noun,
adding,toevoegen,verb,
adjective,"bijvoeglijk naamwoord",noun,
"admin bar",toolbar,noun,
"admin menu",beheermenu,expression,
adverb,bijwoord,noun,
affiliate,affiliate,noun,"We vertalen affiliate niet omdat ook binnen het Nederlandse taalgebied deze activiteit met de Engelse term aangeduid wordt."
affiliates,affiliates,noun,
alert,waarschuwing,noun,
allow,toestaan,verb,"Bij vertaling van 'Allow x op deze pagina', is 'X toestaan op deze pagina' de beste vertaling.
In de context van ""This allows you to"" is ""geeft de mogelijkheid om"" gangbaar gebruik."
allowed,toegestaan,noun,
"alt text",alt-tekst,expression,"Het is een technische term gerelateerd aan het HTML attribuut"
appearance,weergave,noun,
approval,toestemming/goedkeuring,noun,"of 'goedkeuring', afhankelijk van de context."
approve,toestaan/goedkeuren,verb,"of 'goedkeuren', afhankelijk van de context."
approved,toegestaan,verb,"of 'goedgekeurd', afhankelijk van de context."
archive,archief/archiveren,noun,
archives,archieven,noun,
area,ruimte,noun,"Afhankelijk van constructie."
area,gebied,noun,"Soms is het 'gebied' zoals in: tekstgebied."
areas,gebieden,noun,
aside,aside,noun,"technische term, houden we zo"
attachment,bijlage,noun,"Deze term wordt in principe altijd vertaald. Vaak in de context: ""Bijlage invoegen""."
attachments,bijlagen,noun,
attribute,attribuut,noun,"Is technische term, dus niet anders vertalen dan hier aangegeven"
auto-update,auto-update,noun,
auto-updates,auto-updates,noun,
autoloaded,autoloaded,noun,"technische term, houden we zo"
available,beschikbaar,noun,"Wanneer er nieuwe plugins, thema's zijn, is de context: ""Er is een nieuwe versie van x beschikbaar""."
è,&#232;,interjection,
é,&#233;,interjection,
ë,&#235;,interjection,
ï,ï,interjection,
backend,back-end,noun,
backup,back-up,noun,
backups,back-ups,noun,
block,blok,noun,
block,blokkeren,verb,blokkeer/blokkeren
"block area",blokgebied,expression,
"block directory","block directory",expression,"Wordt niet vertaald als het gaat om vertaling van de core v.w.b. het plaatsen van blokken door ontwikkelaars. Anders wordt directory wel vertaald met ""folder"" Het gaat hier om het woord ""directory"""
"block editor",blok-editor,noun,
"block inserter",blok-inserter,noun,
"block inspector",blokinfo,noun,
"block pattern",blokpatroon,noun,
"block patterns",blokpatronen,noun,
blocks,blokken,noun,
"blok plugin","blok plugin",noun,
box,vak,noun,
boxes,vakken,noun,
breadcrumbs,kruimelpad,noun,
browsing,bladeren,verb,
bug,bug,noun,"Is technische term, dus niet vertalen"
bugfix,bugfix,noun,"Is een technische term, dus niet vertalen"
"bulk actions",bulkacties,noun,
"cache key",cache-sleutel,expression,
callback,callback,noun,"REST API specifieke vertaling."
cancel,annuleren,verb,
canceled,geannuleerd,verb,"Amerikaans Engels wordt met 1 ""l"" geschreven"
cancelled,geannuleerd,verb,
capability,rechten,noun,"Kan verschillend uitgelegd worden (mogelijkheden, competenties, bevoegdheden, maar in het kader van WordPress.org vertaling gekozen voor ""rechten"" "
caption,bijschrift,noun,
captions,bijschriften,noun,
cart,winkelwagen,noun,"Niet verkleinen tot winkelwagentje, het symbool is winkelwagen"
carts,winkelwagens,noun,
changelog,changelog,noun,"Het is een technische term, dus we vertalen het niet"
checkboxes,selectievakjes,noun,
child,sub,adjective,"childtheme : subthema"
clipboard,klembord,noun,
close,sluiten,verb,
closed,gesloten,noun,
"command palette",opdrachtpaneel,noun,
comment,reactie,noun,
comments,reacties,noun,
completed,afgerond,noun,
compliant,conform,noun,
conjunction,conjunctie,noun,
content,inhoud,noun,"Binnen WordPress verwijst 'content' meestal naar de inhoud van een bericht. Daarom wordt dit vaak vertaald naar 'inhoud'. Let op dat in bepaalde gevallen 'content' niet vetaald hoeft te worden. Denk hierbij bijvoorbeeld aan 'content marketing'. Bepaal de juiste vertaling dus per string."
"content type",contenttype,noun,
Content-Disposition,Content-Disposition,noun,"REST API-specifieke vertaling."
contributor/contributers,bijdrager/bijdragers,noun,"gezien de rol kan het geen auteur/schrijver zijn"
controls,besturingselementen,expression,"Als knoptekst vertalen met besturing(en)"
coupon,waardebon,noun,
coupons,waardebonnen,noun,
cover,omslagafbeelding,noun,"Let op de context! Cover block == omslagafbeelding, in andere gevallen let dan op de context."
"cover image",omslagafbeelding,noun,
"cover photo",omslagfoto,noun,
"credit card",creditcard,noun,
critical,kritieke,adjective,"Zoals bijvoorbeeld in 'critical error'. "
crop,bijsnijden,verb,
"custom post type","extra berichttype",noun,
customizer,customizer,noun,
database,database,noun,
"date format",datumnotatie,noun,"format is als los woord aanwezig in de glossary, maar de combinatie met date is dan niet juist"
deactivate,deactiveer/deactiveren,verb,"Alternatief afhankelijk van de content ""uitschakelen"""
delete,verwijderen,verb,
deleted,verwijderd,verb,
deleting,verwijderen,verb,
deletion,verwijdering,verb,
delist,"verwijderen van lijst",expression,
