en,ar,pos,description
Accessibility,"إمكانية وصول",noun,
Account,حساب,noun,
Action,"خُطاف الإجراء",noun,"في سياق مصطلح Action Hook
هو نوع من الخطاطيف الذي يستخدم لإضافة إجراءات في نقاط محددة أثناء عمل الووردبريس.

للمزيد من المعلومات:
https://ar.wordpress.org/support/?p=1289"
Action,إجراء,noun,"عند الإشارة عن عملية ما لفعل شئ ذات غاية مُحددة."
adjust,ضبط,verb,
advanced,متقدم,adjective,
Alignment,محاذاة,noun,
Alpha,ألفا,noun,
alphanumeric,"أبجدي رقمي",adjective,
AOV,"متوسط قيمة الطلب",abbreviation,"Average Order Value"
API,"واجهة برمجة التطبيقات (API)",abbreviation,"في سياق مصطلح Application Programming Interface"
Application,تطبيق,noun,
Article,"مقالة / مقالات",noun,
Artist,فنان,noun,
assign,إسناد,verb,
Attachment,مُرفق,noun,
Attachments,مٌرفقات,noun,
Authentication,مصادقة,noun,
Author,كاتب,noun,"في سياق المحتوى الكتابي مثل مقال، صفحة، تعليق..الخ"
Authorization,تفويض,noun,
Automattic,Automattic,noun,"Company Name"
Avatar,"صورة رمزية",noun,
Backslash,"خط مائل عكسي",noun,
Backup,"نسخة احتياطية",noun,
Backups,"نسخ احتياطية",noun,
Beta,بيتا,noun,
Block,مُكوِّن,noun,
"Block Editor","مُحرر المكوِّنات",noun,
"Block Pattern","نمط مُكوِّن",noun,
"Block Patterns","أنماط مُكوِّن",noun,
Blocks,مكوِّنات,noun,
Blog,مدونة,noun,
Breadcrumb,"مسار التنقل",noun,
Breadcrumbs,"مسارات التنقل",noun,
"Bulk Action","إجراء مُجمع",noun,"في سياق الإجراءات التي تستخدم على مجموعة من العناصر دفعة واحدة.

ترجمة مستلهمة من شركة مايكروسوفت، وتم اعتمادها منذ ووردبريس 6.1."
"Bulk Actions","إجراءات مُجمعة",noun,"في سياق الإجراءات التي تستخدم على مجموعة من العناصر دفعة واحدة.

ترجمة مستلهمة من شركة مايكروسوفت، وتم اعتمادها منذ ووردبريس 6.1."
Button,زر,noun,
"button-style link","رابط على شكل زر",expression,
Calendar,تقويم,noun,
cancel,إلغاء,verb,
Canvas,لوحة,noun,
Capabilities,صلاحيات,noun,"في سياق الأدوار والتحكم بصلاحية المستخدمين على تنفيذ إجراءات معينة."
Capability,صلاحية,noun,"في سياق الأدوار والتحكم بصلاحية المستخدمين على تنفيذ إجراءات معينة."
Categories,تصنيفات,noun,
Category,تصنيف,noun,
Changeset,"حزمة تغييرات",noun,
Changesets,"حزم تغييرات",noun,
Checkbox,"مربع اختيار",noun,
Checkboxes,"مربعات اختيار",noun,
classic,تقليدي,adjective,
"Classic Editor","محرر تقليدي",noun,
"Classic Widgets","ودجات تقليدية",noun,
Click,انقر,verb,
Clipboard,حافظة,noun,
"Code Editor","مُحرر شفرة برمجية",noun,
"Color Picker","لاقط لون",noun,
Column,عمود,noun,
Columns,أعمدة,noun,
Comma,فاصلة,noun,"في سياق علامات الترقيم والفواصل"
Command,أمر,noun,
Commas,فواصل,noun,
Comment,تعليق,noun,
Commenter,مُعلِق,noun,
Comments,تعليقات,noun,
Company,شركة,noun,
Container,حاوية,noun,
Contributor,مساهم,noun,
Contributors,"مساهمون، مساهمين",noun,
convert,تحويل,verb,
copy,نسخ,verb,
Copyright,"حقوق النشر",noun,
Cover,غلاف,noun,
CSS,CSS,abbreviation,"في سياق Cascading Style Sheets"
Customizer,"أداة التخصيص",noun,
Dashboard,"لوحة تحكم",noun,
Database,"قاعدة بيانات",noun,
deactivate,تعطيل,verb,
deactivated,"تم تعطيل",verb,"في سياق الفعل بالماضي للإشارة لإتمام عملية التعطيل."
decode,"فك ترميز",verb,
Default,افتراضي,noun,
delete,حذف,verb,
deprecated,مهجور,adjective,
Design,تصميم,noun,
detailed,مُفصَّل,adjective,
"Development Environment","البيئة التطويرية",noun,"Environment types"
Dimensions,أبعاد,noun,
disable,تعطيل,noun,
disabled,مُعطّل,adjective,
dismiss,تجاهل,verb,
DNS,"نظام أسماء النطاقات (DNS)",abbreviation,"في سياق مصطلح Domain Name System"
Domain,نطاق,noun,
Domains,نطاقات,noun,
download,تنزيل,verb,
Draft,مسودة,noun,
Dropdown,"قائمة منسدلة",noun,
edit,تحرير,verb,
editable,"قابل للتحرير",adjective,
Email,"بريد إلكتروني",noun,
Embeds,تضمينات,noun,
Emoticons,"أيقونات تعبيرية",noun,
Enable,تفعيل,noun,
encode,ترميز,verb,
Enhancements,تحسينات,noun,
Error,خطأ,noun,
Excerpt,مقتطف,noun,
Excerpts,مقتطفات,noun,
expand,توسيع,verb,
"F j, Y","j F، Y",noun,"صيغة التاريخ المناسبة بالعربية"
Facebook,فيسبوك,noun,
Family,عائلة,noun,
Favicon,"أيقونة المفضلة",noun,
"Featured Image","صورة بارزة",noun,
Fields,حقول,noun,
Fieldset,"مجموعة حقول",noun,
Fieldsets,"مجموعات حقول",noun,
Filter,"عامل تصفية",noun,"في سياق عناصر التحكم التي تُمكن المستخدم من التركيز على البيانات المهتم بعرضها. كعرض المقالات في تصنيف أو تاريخ معين."
filter,تصفية,verb,"في سياق عناصر التحكم التي تُمكن المستخدم من التركيز على البيانات المهتم بعرضها. كعرض المقالات في تصنيف أو تاريخ معين."
Filter,"خُطاف ترشيح",noun,"في سياق مصطلح Filter Hook
هو نوع من الخطاطيف الذي يستخدم لإضافة مُرشحات تقوم بمعالجة بيانات محددة.

للمزيد من المعلومات:
https://ar.wordpress.org/support/?p=1289"
Filters,"عوامل تصفية",noun,"في سياق عناصر التحكم التي تُمكن المستخدم من التركيز على البيانات المهتم بعرضها. كعرض المقالات في تصنيف أو تاريخ معين."
Folder,مجلد,noun,
Footer,تذييل,noun,
Footers,تذييلات,noun,
Form,نموذج,noun,
Format,صيغة,noun,"في سياق تعريف أو وصف طريقة معينة لصياغة المعلومات من أجل تخزينها أو عرضها. كصيغة تاريخ، صيغة وقت، أو صيغة ملف."
Formatting,تنسيق,noun,"في سياق المظهر للمستند مثل الخط، الألوان، الحدود وغيرها."
Forms,نماذج,noun,
Forum,منتدى,noun,
Forums,منتديات,noun,
free,مجّاني,adjective,"في سياق وصف شئ أنه بلا ثمن أو بلا مقابل"
"Front Page","الصفحة الأمامية",noun,
FTP,"بروتوكول نقل الملفات (FTP)",abbreviation,"في سياق File Transfer Protocol"
"Full Site Editing","تحرير الموقع بالكامل",noun,
Function,دالة,noun,"في سياق الدوال البرمجية والرياضية."
general,عام,adjective,
global,عام,adjective,"في سياق الإعدادات والتفضيلات التي تؤثر على الموقع بشكل كلي وعام."
global,"عام، عمومي",adjective,
"Global Styles","تنسيقات عامة",noun,
Gravatar,Gravatar,noun,"Service Name"
Group,مجموعة,noun,
