en,ja,pos,description
"action hook",アクションフック,noun,
activate,有効化,verb,ボタンなどに使う場合
activate,有効化する,verb,文章内で使う場合
activated,有効化した,adjective,
activated,有効化済み,adjective,
"admin bar",管理バー,noun,
"admin panel",管理画面,noun,
administrator,管理者,noun,
"advanced settings",高度な設定,noun,
"After the Deadline","After the Deadline",noun,"Automattic のサービス名。参照: http://www.afterthedeadline.com/"
all,すべて,adjective,※「全て」ではなく、ひらがな書きにする。
already,すでに,adverb,「既に」としない。
Appearance,外観,noun,管理画面メニュー項目
archive,アーカイブ,noun,
archive,アーカイブ化,verb,
"Are you sure","本当に〜してもよいですか ?",expression,"文頭に「本当に」、文末に「してもよいですか ?」
Are you sure you want to delete the settings? → 本当に設定を削除してもよいですか ?"
area,エリア,noun,「ウィジェットエリア」など。
argument,引数,noun,
array,配列,noun,
attachment,添付ファイル,noun,
audio,音声ファイル,noun,
Author,投稿者,noun,ブログ投稿またはコメントを作成したユーザー
author,作成者,noun,テーマ・プラグインの作者
"Authorization header","Authorization ヘッダー",noun,
binary,バイナリ,noun,
block,ブロック,noun,"Gutenberg のコンテンツユニット"
"block type",ブロックタイプ,noun,"Gutenberg 用語"
bookmarklet,ブックマークレット,noun,
border,枠線,noun,
browser,ブラウザー,noun,
BuddyPress,BuddyPress,noun,
"Bulk Actions",一括操作,noun,
"bullet list",箇条書きリスト,noun,"HTML 要素"
capability,権限,noun,"参照: https://ja.wordpress.org/support/article/roles-and-capabilities/"
cart,お買い物カゴ,noun,
category,カテゴリー,noun,例外で長音付き
CDN,CDN,noun,"Content Delivery Network の略語"
"character entity reference",文字実体参照,noun,
"character set",文字セット,noun,
checkout,購入手続き,noun,eコマースサイトでお買い物カゴに入っている商品を実際に購入する操作。
"chracteter code",文字コード,noun,
citation,引用元,noun,"blockquote 要素の属性"
Classic,クラシック,adjective,"Gutenberg のブロックタイプ"
"Classic Editor","Classic Editor",noun,プラグイン名
"Classic Editor",旧エディター,noun,エディターの種類
"Code Editor",コードエディター,noun,"HTML を編集するタイプのエディターツール"
"color scheme",配色,noun,
comment,コメントする,verb,
comment,コメント,noun,
computer,コンピューター,noun,
"conditional tag",条件分岐タグ,noun,
constant,定数,noun,
"contact form",お問い合わせフォーム,noun,
container,コンテナ,noun,
content,コンテンツ,noun,
"Content Delivery Network",コンテンツデリバリーネットワーク,noun,
Contributor,寄稿者,expression,"権限グループのひとつ。参照: https://wpdocs.osdn.jp/Roles_and_Capabilities"
contributor,コントリビューター,noun,
contributor,貢献者,noun,
Cookie,Cookie,noun,"ブラウザの Cookie"
credentials,ログイン情報,noun,ユーザー名とパスワードのセットなどアクセスに必要な一連の情報。コンテキストによっては「認証情報」を指すこともある
credentials,認証情報,noun,"""API Credentials"" などのような場合。"
"Custom Post Type",カスタム投稿タイプ,noun,
customize,カスタマイズ,verb,
customizer,カスタマイザー,noun,
Dashboard,ダッシュボード,noun,
"Data Erasure Request",データ消去リクエスト,noun,
deactivate,無効化,verb,
deactivate,停止する,verb,
default,初期設定,noun,
default,初期値,noun,
default,デフォルト,noun,
"default theme",デフォルトテーマ,noun,
deprecated,非推奨,adjective,
"description ",説明,noun,
developer,開発者,noun,
device,端末,noun,
directories,ディレクトリ,noun,
directory,ディレクトリ,noun,
disable,無効化,verb,
"Distraction Free Writing",集中執筆モード,noun,
divider,区切り,noun,"Gutenberg 以外で汎用的に使う場合。"
divider,罫線,noun,"Gutenberg ブロックの検索キーワードとして使う場合。"
"domain mapping",ドメインマッピング,noun,"WordPress.com paid upgrade product name"
"domain registrar",ドメイン登録業者,noun,
draft,下書き,noun,
drop,ドロップ,verb,"ドラッグ & ドロップ操作の一部"
"Drop Cap",ドロップキャップ,noun,https://ejje.weblio.jp/content/drop+cap
e-mail,メール,noun,
e-mail,メールアドレス,noun,
eCommerce,eコマース,noun,
editor,エディター,noun,"編集ツール (例: ビジュアルエディター、テーマエディター、プラグインエディター)"
Editor,編集者,noun,"権限グループのひとつ。参照: https://wpdocs.osdn.jp/Roles_and_Capabilities"
email,メール,noun,
email,メールアドレス,noun,
"embed block",埋め込みブロック,noun,
enable,有効化,verb,
error,エラー,noun,
excerpt,抜粋,noun,
Facebook,Facebook,noun,
"featured image",アイキャッチ画像,noun,
"featured post",おすすめ投稿,noun,
feed,フィード,noun,
filter,フィルター,noun,
filter,絞り込み,noun,
filter,絞り込む,verb,
"filter hook",フィルターフック,noun,
folder,フォルダー,noun,
"front end",フロントエンド,adjective,
front-end,フロントエンド,noun,
"Full Site Editing",フルサイト編集,noun,
gallery,ギャラリー,noun,例外で長音付き
Gutenberg,Gutenberg,noun,
"Happiness Engineers",サポートスタッフ,noun,
hide,非表示,verb,"""Hide XX"" → ""〜を非表示"""
horizontal-line,水平線,noun,
host,ホスティングサービス,noun,
host,ホスト,noun,「ホスティングサービス」と訳すのが適切でない場合。
"hosting provider",ホスティングサービス,noun,
indent,インデント,verb,
inserter,インサーター,noun,ブロックインサーター。
"Inserter Tool",挿入ツール,noun,"Gutenberg 用語"
installer,インストーラ,noun,
interface,インターフェース,noun,
interface,管理画面,noun,
invalid,無効,adjective,
invalid,不正な,adjective,
invalid,間違った,adjective,
"IP address","IP アドレス",noun,
"is required",必要,verb,
item,項目,noun,一般的な事項の呼称
"Learn More",さらに詳しく,expression,
"log in",ログイン,noun,
"log out",ログアウト,noun,
"logged in",ログイン中,adjective,
"logged out",ログアウト中,adjective,
login,ログイン,verb,
