en,pt,pos,description
ability,funcionalidade,noun,"Contexto: Abilities API"
about,sobre,preposition,
activate,activar,verb,
add,adicionar,verb,
add-on,"add-on, módulo, extensão",noun,
addon,"add-on, módulo, extensão",noun,
"admin bar","barra de administração",noun,
appearance,apresentação,noun,"Contexto: Apresentação no menu da administração "
"application password","senha de aplicação",noun,"Nova funcionalidade do WordPress 5.6"
approve,aprovar,verb,
archives,arquivo,noun,"sempre no singular"
"are you sure you want","Tem a certeza que pretende",expression,
aside,aparte,noun,
"aspect ratio","rácio largura:altura",noun,
"at the bottom","na parte inferior (ou na base)",expression,"conforme o contexto"
"at the top","na parte superior (ou no topo)",expression,"conforme o contexto"
auto-embeds,"incorporação automática",noun,
"background update","actualização automática",expression,
backup,"cópia de segurança",noun,
backup,"cópia de segurança",verb,
banner,banner,noun,
batch,lote,noun,
batch,"em lote",adjective,
"Block Inserter","painel de inserir blocos",noun,
blogroll,"lista de ligações",noun,
blur,desfoque,noun,"Sombra: desfoque da sombra"
border,borda,noun,"CSS border"
"border radius","raio da borda",noun,"CSS border-radius"
browse,procurar,verb,"quando a tradução remete para uma acção óbvia"
browser,navegador,noun,
"button label","texto do botão",noun,
"by default","por omissão",expression,
can’t,"não é possível",expression,
capability,capacidade,noun,"Contexto: Roles and Capabilities, papéis e capacidades"
caption,legenda,noun,"contexto: legenda descritiva de imagem (diferente de “captions”, que é uma transcrição do áudio para tornar o conteúdo acessível a pessoas surdas e para legendagem)"
"captioning ID","ID de legenda",expression,"no feminino"
captions,"legendas para surdos",noun,"contexto: legendas de vídeo para visualização sem som (diferente de “caption”, legenda descritiva de imagem, e “subtitles”, legendas de tradução)"
cart,carrinho,noun,"no contexto de loja"
change,alterar,verb,
charset,charset,noun,"Contexto: Database charset. Manter no original até haver uma tradução bem consolidada."
"cheating, uh?","A fazer batota?",expression,
check,"marcar (ou confirmar)",verb,"conforme o contexto"
"check out",consultar,verb,
checkbox,"caixa de selecção",noun,
checkout,"finalização de compra",noun,"Contexto: Processo de compra em loja online"
checkout,"finalizar compra",verb,"Contexto: Processo de compra em loja online"
"child theme","tema dependente",noun,"ainda em discussão"
clear,limpar,verb,
closed,fechado,adjective,
collapse,minimizar,noun,
collation,collation,noun,"Contexto: Database collation. Manter no original até haver uma tradução bem consolidada."
"color scheme","paleta de cores",expression,
"colour scheme","paleta de cores",expression,
complete,concluído/concluída,adjective,
"connect to x","ligar a x ou ligar-se a x",verb,
connection,ligação,noun,
container,contentor,noun,"Elemento limitador, que contém outros."
content,conteúdo,noun,
couldn’t,"não foi possível",expression,
coupon,cupão,noun,"cupões de comércio electrónico"
crop,cortar,verb,
"custom post type","tipo de conteúdo personalizado",noun,
customization,personalização,noun,
Customizer,Personalizador,noun,"maiúscula inicial"
"Dark mode","Modo nocturno",noun,"Modo em tons escuros utilizado pelo editor e por alguns temas"
Dashboard,Painel,noun,"Painel de administração do WordPress"
"data breach","violação de dados",expression,
"Data Protection Officer","Encarregado da Protecção de Dados",expression,
database,"base de dados",noun,
deactivate,desactivar,verb,
default,"por omissão",noun,"invariável sem plural"
default,"por omissão",adjective,"invariável sem plural"
delete,"eliminar (ou excluir)",verb,"conforme o contexto"
design,design,noun,
developer,programador,noun,
directory,directório,noun,
disable,desactivar,verb,
discard,descartar,verb,
dismiss,descartar,verb,
display,"mostrar (ou exibir)",verb,
display,exibição,noun,
"Distraction free","Sem distracções",noun,"Contexto: Distraction free mode"
"Distraction free mode","Modo sem distracções",noun,
"don’t be stupid","não invente…",expression,
done,concluído,adjective,
downgrading,"instalar versão anterior",verb,
download,descarregamento,noun,
download,descarregar,verb,
draft,rascunho,noun,
dropdown,selector,noun,"Elemento HTML ""Select"", também conhecido como Dropdown, com uma lista de itens para seleccionar."
duotone,bicolor,noun,"Filtro 'duotone' para imagens"
e-mail,email,noun,"sem hífen"
email,email,noun,"sem hífen"
embed,incorporação,noun,
embed,"incorporar (ou incorporar conteúdo)",verb,"conforme o contexto"
embedded,incorporado,adjective,
enable,activar,verb,
enter,digite,verb,
entry,"artigo (ou entrada)",noun,
excerpt,excerto,noun,"Texto opcional associado ao artigo/conteúdo.
https://wordpress.org/support/article/excerpt/"
excerpt,resumo,noun,
"Extra Light","Extra Light",noun,"Não se traduz até haver um termo consolidado. Contexto: peso de letra. Extra Light = espessura 200 (escala 100-900); Light = espessura 300"
FAQ,"perguntas frequentes",abbreviation,
feature,"recurso (ou funcionalidade)",noun,"conforme o contexto"
"featured image","imagem de destaque",noun,
feeds,feeds,noun,"não se traduz"
fetch,"procurar (ou recolher)",verb,"conforme o contexto"
file,ficheiro,noun,
fire,desencadear,verb,"Contexto: acções e filtros, onde/quando são desencadeados"
"first name",nome,noun,
flag,sinalizar,verb,
font,"tipo de letra",noun,"font family: família tipográfica;
font size: tamanho de letra;
font style: estilo de letra;
font weight: peso de letra;
font type: tipo de letra;
font appearance: estilo de letra"
"font family","família tipográfica",noun,
"font size","tamanho de letra",noun,
"font style","estilo de letra",noun,"Itálico, normal, sublinhado, etc."
"font type","tipo de letra",noun,"O mesmo que “font”"
"font weight","peso de letra",noun,"Negrito, seminegrito, médio, etc."
form-tag,"etiqueta de variável",noun,"Variável utilizada para incorporar ""dados variáveis"" em conteúdos"
frame,frame,noun,"não se traduz (em discussão)"
