en,it,pos,description
"404 not found","404: la pagina non è stata trovata",expression,
about,"chi siamo",noun,"ALTRE POSSIBILI TRADUZIONI: Chi sono oppure Info
Il termine va contestualizzato a seconda se si tratti di una sezione/pagina di un tema, oppure altre parti. Nel caso in cui sia una voce del menu nel backend (o una etichetta) che restituisce informazioni sul tema/plugin (o sul suo autore) si traduce con *Info* o *Informazioni su (plugin/tema/autore/…)"
accent,"in risalto",noun,"quando riferito ad esempio al colore principale di un tema"
"accent color","colore in risalto",expression,
account,account,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
"action hook","action hook",noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
activate,attivazione,noun,
activate,attiva,verb,
activated,attivato,adjective,
"add on",add-on,noun,"In riferimento ad un'estensione o componente aggiuntivo di un software. Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale. "
add-on,add-on,noun,"In riferimento ad un'estensione o componente aggiuntivo di un software. Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
addon,add-on,noun,"In riferimento ad un'estensione o componente aggiuntivo di un software. Lasciare invariato, senza trattino. Declinare al maschile. In italiano non si riportano le s del plurale."
address,indirizza,verb,
address,indirizzo,noun,
"administration screens","area amministrativa",expression,"""Area amministrativa"" quando ci si riferisce a tutto il backend (es: Area amministrativa > Pagine > Aggiungi nuova); mentre è ""Schermata/e di amministrazione"" quando ci si riferisce a una particolare schermata o sezione del backend (es: Tutti gli articoli)"
administrator,amministratore,noun,
AJAX,AJAX,noun,"Lasciare invariato"
all-in-one,tutto-in-uno,adjective,
apologies,"non tradurre se a inizio frase",noun,"Nelle frasi che iniziano con Apologies come ad esempio ""Apologies, but no results were found."" nella traduzione in italiano NON ha senso riportare il ""Mi spiace"" non essendo di uso comune nei messaggi inviati da un computer. Eliminarlo e tradurre la frase senza il ""Mi spiace""."
appearance,aspetto,noun,"Per l'utilizzo di maiuscola o minuscola vedere Guida di Stile"
archive,archivio,noun,
archive,archivia,verb,
"are you sure you want","vuoi davvero",expression,
argument,argomento,noun,
array,array,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
article,articolo,noun,
ascending,crescente,noun,
aside,"a lato",adverb,"ALTRA POSSIBILE TRADUZIONE: laterale
Nel caso di testo/descrizione"
aside,digressione,noun,"Formato di post simile a una nota, senza titolo
Lasciare invariato nel caso di tag puro HTML.
"
attachment,allegato,noun,
"attachment page","pagina dell’allegato",expression,
audio,audio,noun,
author,autore,noun,
"back end",backend,noun,"Lasciare invariato, senza spazio. Declinare al maschile. In italiano non si riportano le s del plurale."
"back to top","torna in alto",noun,
back-end,backend,noun,"Lasciare invariato, senza trattino. Declinare al maschile. In italiano non si riportano le s del plurale."
backend,backend,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
background,sfondo,noun,"Traducibile anche come ”esecuzione in background” in contesti simili a:
”If administrators have automatic background updates enabled,...”"
"background color","colore di sfondo",noun,
"backup font","font di backup",expression,
ban,banna,verb,"Da ""bannare"": escludere da una comunità online."
banned,bannato,adjective,
beta,beta,noun,"Sottinteso ""versione beta"". Lasciare invariato. Declinare al femminile. In italiano non si riportano le s del plurale. "
"beta build","beta build",expression,"Lasciare invariato. Declinare al femminile. In italiano non si riportano le s del plurale. "
"beta version","versione beta",expression,
bitrate,bitrate,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale.
"
black,nero,noun,"Quando riferito al peso (spessore) del font. Nelle specifiche OpenType corrisponde al peso 900."
blacklist,"blacklist ",noun,
blacklist,"aggiungi in blacklist",verb,
blacklisted,"in blacklist",adjective,
"block bindings","blocchi con associazioni",expression,
"block editor","editor a blocchi",expression,
"block inspector","gestione del blocco",expression,"Se riferito alla funzionalità presente nell'editor di WordPress."
blog,blog,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
body,contenuto,noun,"Se si riferisce a <body> tag html, lasciare invariato. Declinare al maschile"
bold,grassetto,noun,"Quando riferito al peso (spessore) del font. Nelle specifiche OpenType corrisponde al peso 700."
"border radius","raggio del bordo",expression,
"border width","spessore del bordo",expression,"Traduzione descrittiva. Quando è riferito alla proprietà CSS compare col trattino e va mantenuto invariato."
border-width,border-width,noun,"Quando riferito alla proprietà CSS."
boxed,boxed,noun,"In riferimento al layout di un sito web."
brand,brand,noun,"Per quanto riguarda la declinazione si è preferita quella al maschile perché oramai maggiormente usata, nonostante la consapevolezza che laddove il termine brand indichi la marca dovrebbe essere declinato al femminile. Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
breadcrumb,breadcrumb,noun,"Lasciare invariato. Declinare al maschile plurale. In italiano non si riportano le s del plurale."
browser,browser,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
bug,bug,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale.
"
builder,builder,noun,
bulk,"di massa",noun,"Bulk Actions=azioni di gruppo
Bulk Selection= selezione multipla"
bullet,"punto elenco",noun,
"bullet list","elenco puntato",noun,
